[31800:31804:0530/173958.313:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31800:8680:0530/173958.372:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[31800:31804:0530/173958.388:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[31800:10484:0530/201203.216:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=76})
[29556:22060:0530/201203.614:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://safebrowsing.googleapis.com/v4/threatListUpdates:fetch?$req=ChoKCGNocm9taXVtEg4xMjguMC42NjEzLjEzOBoMCAUQASIEIAEgAigBGgwIARABIgQgASACKAEaDAgDEAEiBCABIAIoARoMCAcQASIEIAEgAigBGgwIARAIIgQgASACKAQaDAgPEAEiBCABIAIoARoMCAkQASIEIAEgAigBIgIIAQ==&$ct=application/x-protobuf&key=dummytoken
[29556:22060:0530/201203.620:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201203.632:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201203.632:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[29556:22060:0530/201203.682:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201203.682:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201203.682:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[31800:10484:0530/201205.216:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
[31800:10484:0530/201206.215:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=76})
[31800:10484:0530/201207.219:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
[31800:10484:0530/201208.218:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/201210.222:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201212.223:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201219.224:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201222.225:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/201224.225:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
[31800:10484:0530/201225.225:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/201228.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
[31800:10484:0530/201229.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201231.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/201232.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201233.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201234.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=81})
[31800:10484:0530/201235.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201237.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[29556:22060:0530/201237.902:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[29556:22060:0530/201237.906:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201237.906:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[29556:22060:0530/201237.966:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201237.966:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[29556:22060:0530/201237.966:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[31800:10484:0530/201238.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/201241.234:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201247.242:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201248.243:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=81})
[31800:10484:0530/201251.243:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201253.243:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201254.242:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201300.251:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201301.252:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201302.251:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/201305.251:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/201308.260:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=81})
[31800:10484:0530/201312.260:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=82})
